n_places,milliseconds
6,5.03304
6,5.27608
6,3.91404
6,4.15706
6,6.36271
6,11.6206
6,10.6163
6,4.52977
6,4.60231
6,4.97144
7,4.84905
7,4.47139
7,6.08351
7,5.11406
7,5.14262
7,4.70952
7,4.41472
7,4.1726
7,5.29308
7,5.17277
8,11.9426
8,5.80212
8,5.22835
8,5.05678
8,5.31295
8,5.43794
8,40.1664
8,6.52256
8,5.45885
8,5.72313
9,6.69986
9,5.56232
9,6.26811
9,7.39739
9,5.28656
9,8.14031
9,6.68735
9,5.97604
9,6.29905
9,5.80718
10,5.81888
10,6.33494
10,6.64504
10,6.88903
10,5.95492
10,6.35682
10,6.03133
10,5.94275
10,6.69909
10,9.75466
11,5.78188
11,6.05667
11,5.63699
11,6.51146
11,6.42392
11,5.48116
11,7.00351
11,8.14822
11,6.05441
11,6.60836
12,6.31207
12,7.14723
12,7.00659
12,7.19214
12,6.81186
12,7.76194
12,6.51883
12,9.51602
12,9.21424
12,45.882
13,6.98294
13,19.1669
13,6.67432
13,6.03067
13,5.71986
13,10.3666
13,8.62342
13,8.4351
13,6.10921
13,8.11749
14,7.90907
14,7.25843
14,11.2482
14,7.12423
14,106.903
14,6.81959
14,6.14367
14,6.46495
14,6.73483
14,8.23389
15,36.5613
15,9.57171
15,10.4291
15,7.12535
15,6.72377
15,8.46109
15,7.04217
15,6.0857
15,7.65016
15,7.73331
16,8.29106
16,18.0281
16,6.37568
16,7.73875
16,10.7239
16,7.49506
16,60.1743
16,14.3583
16,7.04342
16,7.19646
17,10.1129
17,9.72477
17,64.284
17,9.09095
17,21.1746
17,7.88922
17,8.27421
17,7.37757
17,12.1407
17,7.51526
18,8.15945
18,9.39491
18,8.56692
18,10.1458
18,11.1791
18,10.7505
18,8.43819
18,9.90904
18,114.095
18,9.33474
