n_places,milliseconds
10,32.2228
10,26.4571
10,26.0487
10,24.0456
10,25.8426
10,22.8601
10,23.6581
10,23.8523
10,24.2775
10,24.9898
10,24.8746
10,23.5018
10,26.311
10,23.4737
10,24.9149
10,24.0214
10,33.8757
10,27.3432
10,24.8285
10,26.6061
10,24.7336
10,23.7185
10,26.1076
10,26.2442
10,24.0635
10,24.4901
10,25.0784
10,24.6671
10,24.7553
10,24.3344
10,23.5258
10,24.5585
10,26.3183
10,23.3377
10,24.5154
10,23.92
10,24.8237
10,602.34
10,22.515
10,22.6612
10,22.689
10,23.6114
10,26.2132
10,22.5356
10,23.288
10,25.1241
10,23.8524
10,25.4622
10,23.5791
10,23.9341
10,27.8747
10,25.017
10,26.9501
10,23.1773
10,25.4513
10,24.6986
10,22.6003
10,24.6597
10,23.4867
10,24.1828
10,24.4763
10,23.4477
10,27.9789
10,23.314
10,25.8581
10,23.0157
10,28.2048
10,39.3703
10,22.96
10,24.5893
10,22.9817
10,25.6762
10,22.9862
10,23.3444
10,26.1356
10,24.1055
10,25.2392
10,24.6425
10,23.8824
10,26.5374
10,25.2603
10,25.6499
10,25.5509
10,24.5124
10,23.606
10,24.3439
10,28.3352
10,24.8555
10,25.5219
10,30.4097
10,31.3015
10,27.9794
10,30.0802
10,26.4051
10,26.6172
10,24.4082
10,26.019
10,23.6812
10,25.7355
10,25.1221
11,24.3165
11,25.7215
11,24.0659
11,30.1975
11,32.9618
11,26.982
11,25.3637
11,24.9365
11,26.3766
11,25.6568
11,38.4595
11,24.7613
11,25.0675
11,24.5319
11,25.1496
11,26.1997
11,25.2937
11,25.8257
11,25.9619
11,25.5126
11,25.7578
11,25.8847
11,26.0003
11,25.2193
11,23.6818
11,25.9372
11,26.8469
11,25.1892
11,25.7991
11,25.6866
11,25.3065
11,25.246
11,26.8325
11,25.6922
11,26.3468
11,26.6487
11,27.976
11,26.9317
11,27.1733
11,26.5909
11,26.5196
11,28.9715
11,27.9235
11,26.221
11,27.5567
11,27.7291
11,28.043
11,27.5062
11,28.1912
11,26.4015
11,25.9672
11,25.3983
11,26.3858
11,27.7017
11,24.6248
11,27.2872
11,25.8951
11,26.9915
11,27.5278
11,24.4823
11,28.4512
11,25.6981
11,26.8988
11,26.4348
11,27.1918
11,25.3706
11,26.711
11,26.183
11,27.8924
11,28.25
11,27.0028
11,28.4268
11,25.7095
11,28.3197
11,28.5274
11,26.8705
11,28.0969
11,25.8383
11,27.7803
11,27.029
11,26.2323
11,27.5783
11,28.6748
11,26.0701
11,27.1638
11,27.5719
11,26.9072
11,29.2876
11,27.5752
11,26.2962
11,25.3764
11,25.5087
11,25.9383
11,25.0876
11,27.1349
11,24.6947
11,25.5331
11,25.6836
11,24.8043
11,26.697
12,25.9477
12,26.1752
12,27.8533
12,25.6798
12,27.034
12,27.1143
12,26.0471
12,25.5662
12,25.9849
12,24.9139
12,26.5248
12,27.1248
12,26.1409
12,26.3216
12,25.9266
12,26.0236
12,28.4449
12,26.1106
12,27.4384
12,27.3763
12,27.8632
12,26.3608
12,24.9287
12,27.6288
12,27.9107
12,33.1431
12,33.5104
12,30.4861
12,26.2913
12,25.5789
12,26.9793
12,25.3363
12,27.4037
12,27.0909
12,27.699
12,27.2348
12,26.6941
12,27.1202
12,54.0848
12,26.5171
12,27.8622
12,28.3007
12,27.0457
12,27.4464
12,26.8973
12,28.2134
12,25.7259
12,29.0279
12,25.4556
12,26.8534
12,1742.35
12,30.1534
12,25.3092
12,25.3216
12,26.5097
12,26.7315
12,26.1229
12,26.8428
12,25.7799
12,28.6152
12,26.9568
12,27.1165
12,26.489
12,28.2917
12,26.2657
12,27.9045
12,27.8779
12,36.7446
12,26.498
12,26.2442
12,26.5689
12,24.6783
12,25.4565
12,29.6081
12,25.3309
12,27.4518
12,29.612
12,28.8787
12,27.6971
12,27.5167
12,26.9622
12,28.0257
12,25.4785
12,24.431
12,27.1606
12,28.7371
12,26.422
12,24.7503
12,27.9668
12,26.8046
12,24.8152
12,26.819
12,25.3648
12,28.4744
12,26.302
12,25.3378
12,28.1452
12,24.5731
12,27.2578
12,25.517
13,29.7263
13,28.0249
13,28.0156
13,27.8681
13,29.5957
13,27.9121
13,26.6619
13,27.0172
13,27.4212
13,29.1214
13,27.2959
13,29.7403
13,28.3213
13,28.4661
13,27.5227
13,30.9207
13,27.5746
13,30.5382
13,29.3924
13,29.3773
13,29.3781
13,30.3402
13,27.7118
13,29.298
13,30.7712
13,27.7905
13,30.4029
13,29.9878
13,30.3755
13,28.4246
13,30.3699
13,29.415
13,30.1122
13,28.6051
13,39.315
13,36.9139
13,34.9007
13,31.1148
13,27.6656
13,31.001
13,29.5831
13,29.3721
13,28.5377
13,29.7098
13,31.9872
13,42.8362
13,30.104
13,31.4599
13,28.7458
13,29.1774
13,29.4907
13,29.1318
13,27.5002
13,28.6136
13,28.8983
13,27.5917
13,27.8193
13,29.5217
13,37.2209
13,38.4402
13,29.0947
13,30.425
13,29.4627
13,3872.66
13,36.0317
13,30.9069
13,31.0417
13,29.9594
13,27.7623
13,30.3137
13,27.5569
13,3850.04
13,30.0136
13,32.2746
13,30.2776
13,26.0813
13,30.1862
13,27.5542
13,25.511
13,26.8331
13,27.7446
13,29.5866
13,31.7752
13,33.7974
13,28.3221
13,26.8968
13,27.4849
13,30.3471
13,28.26
13,28.3326
13,28.7553
13,28.0715
13,30.8107
13,27.7911
13,27.9945
13,27.4653
13,29.2563
13,29.0374
13,29.6267
13,28.6669
14,31.5307
14,30.0092
14,28.3488
14,31.0515
14,28.134
14,40.3127
14,28.3555
14,30.1157
14,28.6907
14,31.1941
14,29.9065
14,30.1027
14,29.9779
14,31.3061
14,29.1743
14,1106.25
14,31.0204
14,28.963
14,31.5971
14,40.389
14,37.2599
14,31.433
14,27.5021
14,30.2785
14,28.8168
14,31.0039
14,31.3615
14,28.7016
14,31.3932
14,29.2573
14,39.7584
14,31.6486
14,30.7895
14,32.3501
14,29.4095
14,29.7659
14,37.8034
14,30.8832
14,28.095
14,30.099
14,27.2785
14,31.4227
14,30.4617
14,29.3892
14,31.1116
14,31.1446
14,28.5653
14,28.0073
14,30.4187
14,29.709
14,29.377
14,27.4548
14,29.0304
14,28.7375
14,32.0654
14,29.5659
14,29.6805
14,28.3613
14,31.2561
14,30.2055
14,40.4976
14,34.4639
14,40.147
14,32.3243
14,39.8
14,30.7832
14,30.4097
14,30.9973
14,28.4946
14,28.8355
14,28.606
14,31.7487
14,28.6598
14,33.3795
14,29.0175
14,31.4388
14,29.6948
14,33.2629
14,29.0882
14,30.0106
14,30.011
14,40.5382
14,31.1154
14,28.4821
14,30.2714
14,30.9118
14,32.5604
14,30.5425
14,31.8488
14,30.1597
14,31.008
14,30.7283
14,32.7476
14,37.2535
14,30.1845
14,30.108
14,30.3314
14,31.0998
14,30.7647
14,31.5062
15,30.3688
15,30.0236
15,33.5116
15,30.0185
15,33.469
15,34.4362
15,30.6848
15,32.1752
15,32.9719
15,33.7073
15,31.1934
15,32.5854
15,31.9168
15,38.4763
15,42.0354
15,33.5419
15,30.9084
15,30.8034
15,31.9097
15,33.0308
15,31.7059
15,33.3537
