n_places,milliseconds
6,0.777719
6,0.839949
6,0.888664
6,0.465421
6,0.903876
6,0.794853
6,0.90949
6,0.546385
6,0.429016
6,0.448158
7,0.898751
7,1.54018
7,1.91647
7,1.86435
7,1.65778
7,1.51031
7,1.80731
7,1.88429
7,1.99488
7,2.0755
8,3.89754
8,3.36222
8,3.53302
8,3.15182
8,2.93369
8,3.4267
8,3.51181
8,3.33399
8,3.66168
8,3.60723
9,7.70479
9,7.14679
9,7.05455
9,7.73447
9,8.57835
9,7.11969
9,6.93727
9,5.78618
9,7.07085
9,6.4633
10,13.1546
10,13.796
10,15.664
10,16.5013
10,13.6886
10,15.4319
10,13.7228
10,13.1002
10,17.051
10,13.2086
11,31.6467
11,13.439
11,35.4621
11,32.9654
11,35.2869
11,36.0437
11,32.9008
11,33.3547
11,37.692
11,34.334
12,68.7721
12,72.3958
12,80.6108
12,68.6244
12,61.5934
12,70.3805
12,69.5235
12,62.5895
12,62.1375
12,63.2675
13,148.041
13,141.681
13,128.228
13,175.072
13,162.067
13,135.011
13,162.279
13,157.306
13,150.937
13,150.467
14,317.983
14,301.246
14,350.714
14,321.135
14,304.674
14,319.211
14,337.327
14,253.406
14,349.589
14,299.231
15,696.537
15,629.455
15,682.979
15,674.436
15,613.164
15,655.162
15,662.089
15,775.315
15,657.527
15,694.689
16,1605.68
16,1532.01
16,1720.67
16,1692.52
16,1507.09
16,1328.72
16,1765.3
16,1688.25
16,1772.44
16,1809
17,4222.16
17,3614.91
17,3771.88
17,3666.38
17,4294.77
17,3955.83
17,4191.44
17,4070.58
17,4623.79
17,4946.97
18,10696.8
18,9951.13
18,8665.3
18,8579.16
18,9715
18,9352.68
18,10619.9
18,11729.2
18,7904.64
18,8843.51
